code,uic,name,slug,latitude,longitude,province,municipality,type,active
UTG,8400615,Uitgeest,uitgeest,52.521667,4.701667,Noord-Holland,Uitgeest,knooppuntStoptreinstation,1
UHZ,8400617,Uithuizen,uithuizen,53.409957,6.674887,Groningen,Het Hogeland,stoptreinstation,1
UHM,8400618,Uithuizermeeden,uithuizermeeden,53.414584,6.720298,Groningen,Het Hogeland,stoptreinstation,1
UST,8400619,Usquert,usquert,53.401474,6.609378,Groningen,Het Hogeland,stoptreinstation,1
UT,8400621,Utrecht Centraal,utrecht-centraal,52.088890,5.110278,Utrecht,Utrecht,megastation,1
UTLR,8400607,Utrecht Leidsche Rijn,utrecht-leidsche-rijn,52.098960,5.065230,Utrecht,Utrecht,stoptreinstation,1
UTLN,8400623,Utrecht Lunetten,utrecht-lunetten,52.065556,5.144166,Utrecht,Utrecht,stoptreinstation,1
UTM,8400624,Utrecht Maliebaan,utrecht-maliebaan,52.087776,5.131389,Utrecht,Utrecht,stoptreinstation,1
UTO,8400620,Utrecht Overvecht,utrecht-overvecht,52.110001,5.124722,Utrecht,Utrecht,knooppuntStoptreinstation,1
UTT,8400614,Utrecht Terwijde,utrecht-terwijde,52.100075,5.043955,Utrecht,Utrecht,stoptreinstation,1
UTVR,8400606,Utrecht Vaartsche Rijn,utrecht-vaartsche-rijn,52.078889,5.121667,Utrecht,Utrecht,knooppuntStoptreinstation,1
UTZL,8400613,Utrecht Zuilen,utrecht-zuilen,52.103055,5.090000,Utrecht,Utrecht,stoptreinstation,1
VK,8400632,Valkenburg,valkenburg,50.869720,5.832222,Limburg,Valkenburg aan de Geul,knooppuntSneltreinstation,1
VSV,8400635,Varsseveld,varsseveld,51.937257,6.458839,Gelderland,Oude IJsselstreek,stoptreinstation,1
VDM,8400636,Veendam,veendam,53.103240,6.884750,Groningen,Veendam,knooppuntStoptreinstation,1
VNDC,8400627,Veenendaal Centrum,veenendaal-centrum,52.020000,5.548611,Utrecht,Veenendaal,knooppuntStoptreinstation,1
VNDW,8400628,Veenendaal West,veenendaal-west,52.028057,5.531389,Utrecht,Veenendaal,stoptreinstation,1
KLP,8400637,Veenendaal-De Klomp,veenendaal-de-klomp,52.045834,5.573889,Gelderland,Ede,stoptreinstation,1
VP,8400640,Velp,velp,51.994720,5.980278,Gelderland,Rheden,stoptreinstation,1
VL,8400644,Venlo,venlo,51.363609,6.172778,Limburg,Venlo,knooppuntIntercitystation,1
VRY,8400646,Venray,venray,51.526568,6.014178,Limburg,Venray,knooppuntStoptreinstation,1
VLB,8400647,Vierlingsbeek,vierlingsbeek,51.591930,5.997140,Noord-Brabant,Land van Cuijk,stoptreinstation,1
VTN,8400651,Vleuten,vleuten,52.103056,5.007404,Utrecht,Utrecht,stoptreinstation,1
VS,8400652,Vlissingen,vlissingen,51.445835,3.595278,Zeeland,Vlissingen,knooppuntIntercitystation,1
VSS,8400653,Vlissingen Souburg,vlissingen-souburg,51.464722,3.595278,Zeeland,Vlissingen,stoptreinstation,1
VDL,8400656,Voerendaal,voerendaal,50.887222,5.930278,Limburg,Voerendaal,stoptreinstation,1
VB,8400658,Voorburg,voorburg,52.066666,4.359445,Zuid-Holland,'s-Gravenhage,stoptreinstation,1
VH,8400655,Voorhout,voorhout,52.224445,4.484445,Zuid-Holland,Teylingen,stoptreinstation,1
VST,8400659,Voorschoten,voorschoten,52.125278,4.432500,Zuid-Holland,Voorschoten,stoptreinstation,1
VEM,8400668,Voorst-Empe,voorst-empe,52.157501,6.143611,Gelderland,Brummen,stoptreinstation,1
VD,8400661,Vorden,vorden,52.107195,6.317046,Gelderland,Bronckhorst,stoptreinstation,1
VZ,8400664,Vriezenveen,vriezenveen,52.402030,6.600410,Overijssel,Twenterand,stoptreinstation,1
VHP,8400666,Vroomshoop,vroomshoop,52.457192,6.569668,Overijssel,Twenterand,stoptreinstation,1
VG,8400667,Vught,vught,51.655556,5.291945,Noord-Brabant,Vught,stoptreinstation,1
WAD,8400675,Waddinxveen,waddinxveen,52.044167,4.649722,Zuid-Holland,Waddinxveen,stoptreinstation,1
WADN,8400674,Waddinxveen Noord,waddinxveen-noord,52.055000,4.648334,Zuid-Holland,Waddinxveen,stoptreinstation,1
WADT,8400677,Waddinxveen Triangel,waddinxveen-triangel,52.027250,4.649100,Zuid-Holland,Waddinxveen,stoptreinstation,1
WFM,8400679,Warffum,warffum,53.390843,6.567136,Groningen,Het Hogeland,stoptreinstation,1
WT,8400684,Weert,weert,51.248611,5.703611,Limburg,Weert,intercitystation,1
WP,8400685,Weesp,weesp,52.312778,5.043056,Noord-Holland,Amsterdam,knooppuntStoptreinstation,1
WL,8400686,Wehl,wehl,51.957806,6.213844,Gelderland,Doetinchem,stoptreinstation,1
WTV,8400688,Westervoort,westervoort,51.962860,5.969500,Gelderland,Westervoort,stoptreinstation,1
WZ,8400690,Wezep,wezep,52.454166,6.002500,Gelderland,Oldebroek,stoptreinstation,1
WDN,8400691,Wierden,wierden,52.361389,6.591667,Overijssel,Wierden,knooppuntStoptreinstation,1
WC,8400710,Wijchen,wijchen,51.811668,5.730834,Gelderland,Wijchen,stoptreinstation,1
WH,8400711,Wijhe,wijhe,52.390278,6.140555,Overijssel,Olst-Wijhe,intercitystation,1
WS,8400696,Winschoten,winschoten,53.139238,7.035101,Groningen,Oldambt,knooppuntStoptreinstation,1
WSM,8400697,Winsum,winsum,53.330099,6.520290,Groningen,Het Hogeland,stoptreinstation,1
WW,8400698,Winterswijk,winterswijk,51.967731,6.715518,Gelderland,Winterswijk,knooppuntStoptreinstation,1
WWW,8400700,Winterswijk West,winterswijk-west,51.974530,6.704170,Gelderland,Winterswijk,stoptreinstation,1
WD,8400702,Woerden,woerden,52.084999,4.893611,Utrecht,Woerden,knooppuntStoptreinstation,1
WF,8400704,Wolfheze,wolfheze,52.005554,5.793611,Gelderland,Renkum,stoptreinstation,1
WV,8400705,Wolvega,wolvega,52.880833,6.003611,Fryslân,Weststellingwerf,stoptreinstation,1
WK,8400706,Workum,workum,52.972486,5.456429,Fryslân,Súdwest-Fryslân,stoptreinstation,1
WM,8400707,Wormerveer,wormerveer,52.489166,4.792222,Noord-Holland,Zaanstad,stoptreinstation,1
ZD,8400731,Zaandam,zaandam,52.438889,4.813611,Noord-Holland,Zaanstad,knooppuntIntercitystation,1
ZDK,8400728,Zaandam Kogerveld,zaandam-kogerveld,52.456665,4.820278,Noord-Holland,Zaanstad,stoptreinstation,1
ZZS,8400364,Zaandijk Zaanse Schans,zaandijk-zaanse-schans,52.469166,4.805000,Noord-Holland,Zaanstad,knooppuntStoptreinstation,1
ZBM,8400732,Zaltbommel,zaltbommel,51.808887,5.263333,Gelderland,Zaltbommel,stoptreinstation,1
ZVT,8400733,Zandvoort aan Zee,zandvoort-aan-zee,52.375278,4.532778,Noord-Holland,Zandvoort,stoptreinstation,1
ZA,8400734,Zetten-Andelst,zetten-andelst,51.920056,5.722841,Gelderland,Overbetuwe,stoptreinstation,1
ZV,8400735,Zevenaar,zevenaar,51.923054,6.071944,Gelderland,Zevenaar,knooppuntStoptreinstation,1
ZVB,8400737,Zevenbergen,zevenbergen,51.640420,4.609040,Noord-Brabant,Moerdijk,stoptreinstation,1
ZTM,8400741,Zoetermeer,zoetermeer,52.047501,4.477222,Zuid-Holland,Zoetermeer,knooppuntStoptreinstation,1
ZTMO,8400740,Zoetermeer Oost,zoetermeer-oost,52.046391,4.492778,Zuid-Holland,Zoetermeer,stoptreinstation,1
ZB,8400742,Zuidbroek,zuidbroek,53.159612,6.867914,Groningen,Midden-Groningen,knooppuntStoptreinstation,1
ZH,8400743,Zuidhorn,zuidhorn,53.248629,6.406236,Groningen,Westerkwartier,stoptreinstation,1
ZP,8400744,Zutphen,zutphen,52.145279,6.194167,Gelderland,Zutphen,knooppuntIntercitystation,1
ZWD,8400752,Zwijndrecht,zwijndrecht,51.814999,4.641667,Zuid-Holland,Zwijndrecht,stoptreinstation,1
ZL,8400747,Zwolle,zwolle,52.504723,6.091944,Overijssel,Zwolle,knooppuntIntercitystation,1
ZLSH,8400746,Zwolle Stadshagen,zwolle-stadshagen,52.527640,6.051460,Overijssel,Zwolle,stoptreinstation,1
